Individual-Level Measures,School-Level Measures,Indicator,Index
Census Poverty,Percent of population under income to poverty ratio of 1.0,Community and Environmental Health,Conditions
Census Unemployment,Percent of population unemployed,Community and Environmental Health,Conditions
Census Internet Access,Percent of households with an internet subscription,Community and Environmental Health,Conditions
Census Computer Access,Percent of households with computer access,Community and Environmental Health,Conditions
Census 1 or 0  Vehicle,Percent of households with one or no vehicles,Community and Environmental Health,Conditions
Census Pre-K,"Percent of population, ages 3 and 4 years old, that attend pre-K",Community and Environmental Health,Conditions
Census Bachelor's Degree over 25,"Percent of population, age 25 and older, with a Bachelor's degree or higher",Community and Environmental Health,Conditions
Census Single-Parent Household,Percent of households that are single parent households,Community and Environmental Health,Conditions
Tree Canopy Coverage,Percent of tree canopy coverage,Community and Environmental Health,Conditions
Food Desert,Percent of population with limited food access,Community and Environmental Health,Conditions
School enrollment,Total school enrollment,Student Instructional Support Needs,Conditions
FRPL binary,Percent of students receiving free or reduced-priced lunch,Student Instructional Support Needs,Conditions
ELL binary,Percent of students who are multi-lingual learners,Student Instructional Support Needs,Conditions
IEP binary,Percent of students with disabilities,Student Instructional Support Needs,Conditions
Mobility Rate,School's mobility rate,Student Instructional Support Needs,Conditions
Mobility ,Percent of students attending two or more schools per year,Student Instructional Support Needs,Conditions
Retention,Percent of students retained from the previous school year,Student Instructional Support Needs,Conditions
Previous School Math test score,Percent of students proficient in math in the previous grade level configuration,Student Instructional Support Needs,Conditions
Previous School ELA test score,Percent of students proficient in ela in the previous grade level configuration,Student Instructional Support Needs,Conditions
Newborn Risk Factors,Percent of students born with risk factors for special education needs,Health & Human Service Needs,Conditions
Child Immunization,Percent of students who received childhood immunizations,Health & Human Service Needs,Conditions
Vision Testing,Percent of students who received vision screneeings,Health & Human Service Needs,Conditions
Auditory Testing,Percent of students who received hearing screenings,Health & Human Service Needs,Conditions
Homelessness,Percent of students experiencing homlessness,Health & Human Service Needs,Conditions
Foster Care,Percent of students involved with foster care,Health & Human Service Needs,Conditions
Lead Screening,Percent of students who received blood lead screenings,Health & Human Service Needs,Conditions
Lead Poisoning,Percent of students with elevated blood lead levels,Health & Human Service Needs,Conditions
Absense,Average number of days that students are absent,Engagement in Schooling,Experiences
Chronic Absense,Percent of students who are chronically absent,Engagement in Schooling,Experiences
Partial Attendance,Average percent of days that students are tardy or dismissed early,Engagement in Schooling,Experiences
Unexcused Absence,Percent of students with unexcused absenses,Engagement in Schooling,Experiences
Disaffection Suspensions,Percent of students who are suspended for disaffection-related infractions,Engagement in Schooling,Experiences
Suspension 10+ Days,Percent of student who are suspended for ten or more days,Engagement in Schooling,Experiences
Teacher Caring,"Percent of student responding positively to 'When your teachers ask, 'How are you?', how often do you feel that your teachers really want to know your answer?'",Engagement in Schooling,Experiences
Stress Interference,"Percent of student responding positively to 'How much has stress interfered with your ability to participate in school in the last 30 days?'",Engagement in Schooling,Experiences
Class Preparation,"Percent of student responding positively to 'How often do you come prepared to class?'",Engagement in Schooling,Experiences
Staying Calm,"Percent of student responding positively to 'How often do you remain calm, even if someone is bothering you or saying something bad?'",Engagement in Schooling,Experiences
Adult Connection,"Percent of student responding positively to 'How connected do you feel to the adults at your school?'",Engagement in Schooling,Experiences
School Belonging,"Percent of student responding positively to 'Overall, how much do you feel like you belong at your school?'",Engagement in Schooling,Experiences
Teacher to Talk to,"Percent of student responding positively to 'Is there at least one teacher or other adult that you can talk to if you have a problem?'",Engagement in Schooling,Experiences
Adult to Talk to,"Percent of student responding positively to 'Is there an adult you can talk to outside of school when you have a problem?'",Engagement in Schooling,Experiences
Attendance Importance,"Percent of student responding positively to 'How much do you think missing at least 2 days of school a month can hurt your grades/impacts a student's chance of graduating high school?'",Engagement in Schooling,Experiences
,"Percent of students responding positively to 'How positive or negative is the energy of the school?'",School Climate,Experiences
,"Percent of students responding positively to 'How fair or unfair are the rules for the students at this school?'",School Climate,Experiences
