Measure,MeasureShort,Indicator,Description,metric,Index
Economic Status,Poverty_agg,commenvhlth,Based on mean percent of population under income to poverty ratio of 1.0.,"Economic\nStatus",Conditions
Employment,Unemployed_agg,commenvhlth,Based on mean percent of population unemployed.,"Employment",Conditions
Computer Access,Comp_agg,commenvhlth,Based on mean percent of households with access to computing device (other than smart phone).,"Computer\nAccess",Conditions
Vehicle Access,ZerVhcl_agg,commenvhlth,Based on mean percent of 3-or-more person households with no vehicle available.,"Vehicle\nAccess",Conditions
Educational Attainment,BchDg25_agg,commenvhlth,Based on mean percent of population 25 years and over with Bachelor's degree or higher.,"Educational\nAttainment",Conditions
Internet Access,Internt_agg,commenvhlth,Based on mean percent of households with internet subscription.,"Internet\nAccess",Conditions
Tree Canopy Coverage,adj_tree_agg,commenvhlth,Based on mean percent of tree canopy coverage.,"Tree\nCanopy\nCoverage",Conditions
Pre-K Enrollment,preK_agg,commenvhlth,Based on mean percent of population 3 and 4 years old that attend pre-K.,"Pre-K\nEnrollment",Conditions
Single Parent Households,sngl_prnt_agg,commenvhlth,Based on mean percent of households that are single parent households.,"Single\nParent\nHouseholds",Conditions
Food Access,lim_food_agg,commenvhlth,Based on percent of school's students with limited food access based on distance and population density.,"Food\nAccess",Conditions
Low Partial Attendance,rate_prt,engage,Based on average partial attendance rate.,"Low\nPartial\nAttendance",Opportunities
Low Absence Rate,rate_abs,engage,Based on average absence rate.,Low\nAbsence\nRate,Opportunities
Low Chronic Absence,rate_chronabs,engage,Based on proportion of students chronically absent.,"Low\nChronic\nAbsence",Opportunities
Fewer Disaffection Suspensions,rate_disaff,engage,Based on percentage of students suspended for a disaffection infraction.,"Fewer\nDisaffection\nSuspensions",Opportunities
Attendance Importance,s_attend,engage,Based on percent of students responding positively to '"How much do you think missing at least 2 days of school a month can hurt your grades?"',"Attendance\nImportance",Opportunities
School Belonging,s_belong,engage,Based on percent of students responding positively to '"Overall, how much do you feel like you belong at your school?"',School\nBelonging,Opportunities
Staying Calm,s_calm,engage,Based on percent of students responding positively to '"How often do you remain calm, even if someone is bothering you or saying something bad?"',Staying\nCalm,Opportunities
Adult Connection,s_connect,engage,Based on percent of students responding positively to '"How connected do you feel to the adults at your school?"',Adult\nConnection,Opportunities
Teacher Caring,s_hyd,engage,Based on percent of students responding positively to '"When your teachers ask, 'How are you?', how often do you feel that your teachers really want to know your answer?"',Teacher\nCaring,Opportunities
Class Preparation,s_prepared,engage,Based on percent of students responding positively to '"How often do you come prepared to class?"',Class\nPreparation,Opportunities
Less Stress,s_stress,engage,Based on percent of students responding positively to '"How much has stress interfered with your ability to participate in school in the last 30 days?"',Less\nStress,Opportunities
Teacher to Talk to,s_teach,engage,Based on percent positive response to '"Is there at least one teacher or other adult that you can talk to if you have a problem?"',Teacher\nto Talk to,Opportunities
Adult to Talk to,s_adult,engage,Based on percent positive response to '"Is there an adult you can talk to outside of school when you have a problem?"',Adult\nto Talk to,Opportunities
